"Grado","Sexo","Trimestre_1","Trimestre_2","Trimestre_3","Ingreso_Familiar_Mensual","Numero_Personas_Hogar","Nivel_Educativo_Padres","Situacion_Laboral_Padres","Acceso_Internet_Casa","Tipo_Vivienda","Computadora_Casa","Dispositivos_Moviles","Numero_Dispositivos_Moviles","Numero_Hermanos","Numero_Hermanos_Estudiando","Numero_Hermanos_Trabajando","Probabilidad_Desercion"
"3","F","5.2","5.6","7.2","2185","4","Secundaria","Desempleado","Si","Propia","No","No","8","5","5","3","1"
"1","F","6.2","9.9","9.4","10070","6","Secundaria","Empleado","Si","Propia","No","No","9","2","3","3","1"
"3","F","5.2","7.5","5.8","13545","8","Universitaria","Empleado","No","Propia","No","No","1","0","2","3","0"
"3","M","7.5","7.5","5.1","18006","8","Secundaria","Desempleado","No","Propia","Si","No","8","3","3","1","1"
"1","M","7.3","6.8","8.1","2201","2","Primaria","Empleado","Si","Alquilada","No","Si","4","0","0","5","1"
"1","F","5.5","5.8","9.8","13284","4","Secundaria","Empleado","No","Alquilada","No","No","2","5","2","5","1"
"3","F","9.2","6.9","8","7710","3","Preparatoria","Desempleado","Si","Alquilada","No","No","7","0","5","1","0"
"2","F","9.8","9.1","5.6","17698","4","Universitaria","Empleado","No","Prestada","Si","Si","8","4","0","3","1"
"3","M","9.1","9.4","7.9","4102","3","Universitaria","Empleado","No","Prestada","Si","No","0","1","3","4","0"
"3","F","6.1","9.9","5.2","11102","7","Preparatoria","Desempleado","Si","Propia","Si","No","4","2","3","1","1"
"3","F","9.8","6.5","5.8","3571","4","Universitaria","Desempleado","Si","Alquilada","No","Si","8","3","4","0","0"
"3","M","8.5","6.6","5.9","7125","5","Universitaria","Desempleado","No","Propia","No","No","1","2","1","5","1"
"1","M","5.1","7.1","9.5","8697","7","Primaria","Desempleado","Si","Alquilada","Si","Si","0","0","5","1","0"
"3","F","6","6.2","9.9","16034","3","Primaria","Desempleado","No","Prestada","Si","Si","7","1","1","4","0"
"2","M","8.8","6.1","9.6","3329","2","Universitaria","Desempleado","Si","Propia","No","No","5","0","2","4","0"
"1","F","8.3","5.9","7.5","10652","7","Secundaria","Desempleado","Si","Alquilada","Si","Si","1","2","0","2","1"
"2","M","7.5","5","5","5699","7","Universitaria","Desempleado","No","Alquilada","Si","Si","2","4","1","4","0"
"2","F","6.7","8.1","7.9","8027","7","Primaria","Empleado","Si","Alquilada","No","No","4","2","2","3","1"
"2","F","7","7.9","8.7","12667","3","Universitaria","Empleado","No","Propia","No","No","0","0","3","4","1"
"2","F","8.5","5.7","6.4","6823","9","Secundaria","Desempleado","No","Prestada","No","Si","1","3","1","1","0"
"1","F","8.9","7","7.4","11347","3","Secundaria","Empleado","No","Alquilada","Si","No","0","3","0","1","0"
"1","M","9.5","7.1","5.5","18881","4","Primaria","Desempleado","No","Propia","No","Si","6","3","4","1","1"
"2","M","9.3","6.7","6.7","8959","5","Universitaria","Empleado","Si","Alquilada","No","Si","6","3","4","4","1"
"2","M","7.1","5.1","5","15616","7","Primaria","Empleado","No","Propia","Si","No","9","3","1","3","0"
"1","M","7.9","9.7","5.2","8210","4","Preparatoria","Desempleado","No","Prestada","Si","Si","4","5","4","5","1"
"1","F","9.9","9.3","6.6","14517","4","Primaria","Empleado","No","Alquilada","Si","No","9","1","2","3","0"
"1","F","9.2","5.8","9.7","14620","5","Primaria","Empleado","Si","Propia","No","No","5","1","5","2","0"
"3","M","7.9","5.2","5.7","5976","9","Primaria","Empleado","No","Alquilada","No","No","2","4","0","0","1"
"3","M","5.7","7.5","9.8","19991","4","Universitaria","Desempleado","No","Propia","Si","No","1","3","3","3","1"
"3","M","8.3","7","8.9","10912","9","Preparatoria","Empleado","Si","Prestada","No","Si","9","0","0","5","1"
"2","M","9.6","7.9","6.6","19658","5","Universitaria","Empleado","No","Prestada","No","No","8","0","3","5","0"
"3","M","5.8","7.7","7.4","14059","2","Secundaria","Desempleado","No","Propia","No","No","1","2","4","1","1"
"2","F","6.9","8.5","9","2690","5","Preparatoria","Empleado","Si","Prestada","No","No","0","3","2","2","0"
"2","F","8.9","7.5","6.1","14344","6","Primaria","Empleado","No","Alquilada","Si","Si","8","0","3","5","0"
"3","F","7.4","8.3","7.8","5437","5","Primaria","Empleado","No","Prestada","No","No","7","5","4","3","0"
"2","M","6.8","5.7","7.4","4355","5","Primaria","Empleado","Si","Alquilada","No","Si","7","4","3","3","1"
"3","M","5.4","5.9","8.5","2749","8","Universitaria","Desempleado","Si","Prestada","No","Si","6","0","1","0","1"
"3","M","6","9.7","7.4","14965","6","Secundaria","Desempleado","Si","Prestada","Si","Si","8","5","0","0","1"
"1","M","6.4","9.2","7.8","14847","5","Preparatoria","Desempleado","No","Alquilada","No","Si","2","5","5","0","0"
"3","F","5.7","9.9","6","7758","3","Preparatoria","Empleado","No","Prestada","No","No","7","4","5","3","1"
"1","F","6.8","6.3","5.3","13637","9","Universitaria","Desempleado","Si","Alquilada","No","No","0","3","2","5","0"
"3","M","7.2","8.9","6.3","8074","8","Secundaria","Empleado","No","Alquilada","Si","Si","0","2","4","3","1"
"3","F","7.6","6.4","9.5","15378","4","Preparatoria","Empleado","Si","Prestada","No","Si","5","2","2","1","1"
"1","F","8.9","6.6","8.7","16529","4","Universitaria","Desempleado","No","Prestada","Si","No","7","1","0","4","0"
"1","M","8.1","6.7","6.6","7274","2","Secundaria","Desempleado","Si","Alquilada","No","Si","7","3","5","0","0"
"3","M","7.5","8.1","5.1","16007","2","Secundaria","Desempleado","Si","Propia","Si","Si","9","0","3","1","0"
"2","M","7.6","8.7","5.7","8409","6","Preparatoria","Empleado","Si","Prestada","Si","Si","0","2","3","1","1"
"1","M","6.8","7.2","8.5","8288","3","Preparatoria","Empleado","No","Prestada","No","No","0","5","2","5","0"
"2","M","9.9","9.5","5.9","2885","2","Secundaria","Empleado","Si","Propia","No","Si","8","4","3","2","1"
"2","M","9.1","7.2","5.6","2864","4","Preparatoria","Empleado","Si","Propia","Si","Si","8","5","3","1","1"
